"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","185","272","313","390","399","431","494","Epi_ref"
"rpmB","","50S ribosomal protein L28","8","8","1","2","1660","","","","188","188","188","AJPKBNED_01522","JABOOPHC_01486","OAPGLPBN_01458","PLNEIAEP_00832","HCLGMOMD_00813","PNEBEOAF_01470","PILLALAE_00839","ECPKFHDG_01562"
"yvdD","","LOG family protein YvdD","8","8","1","2","595","","","","566","566","566","AJPKBNED_02049","JABOOPHC_01923","OAPGLPBN_01885","PLNEIAEP_00343","HCLGMOMD_00358","PNEBEOAF_01965","PILLALAE_00331","ECPKFHDG_01988"
"larC","","Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein","8","8","1","2","519","","","","1187","1187","1187","AJPKBNED_02124","JABOOPHC_01998","OAPGLPBN_01960","PLNEIAEP_00269","HCLGMOMD_00283","PNEBEOAF_02042","PILLALAE_00255","ECPKFHDG_02063"
"group_2180","","hypothetical protein","8","8","1","2","2605","","","","416","416","416","AJPKBNED_00508","JABOOPHC_00479","OAPGLPBN_00450","PLNEIAEP_01845","HCLGMOMD_01820","PNEBEOAF_00459","PILLALAE_01875","ECPKFHDG_00549"
"sbmC","","DNA gyrase inhibitor","8","8","1","2","598","","","","464","464","464","AJPKBNED_02046","JABOOPHC_01920","OAPGLPBN_01882","PLNEIAEP_00346","HCLGMOMD_00361","PNEBEOAF_01962","PILLALAE_00334","ECPKFHDG_01985"
"yfhH","","putative protein YfhH","8","8","1","2","1047","","","","314","314","314","AJPKBNED_00900","JABOOPHC_00872","OAPGLPBN_00837","PLNEIAEP_01455","HCLGMOMD_01436","PNEBEOAF_00853","PILLALAE_01461","ECPKFHDG_00943"
"group_2183","","hypothetical protein","8","8","1","2","2128","","","","137","137","137","AJPKBNED_00774","JABOOPHC_00744","OAPGLPBN_00719","PLNEIAEP_01579","HCLGMOMD_01554","PNEBEOAF_00725","PILLALAE_01610","ECPKFHDG_00816"
"rpsC","","30S ribosomal protein S3","8","8","1","2","2260","","","","653","653","653","AJPKBNED_00638","JABOOPHC_00606","OAPGLPBN_00580","PLNEIAEP_01717","HCLGMOMD_01692","PNEBEOAF_00587","PILLALAE_01747","ECPKFHDG_00679"
"phoP","","Alkaline phosphatase synthesis transcriptional regulatory protein PhoP","8","8","1","2","1193","","","","710","710","710","AJPKBNED_01076","JABOOPHC_01049","OAPGLPBN_01015","PLNEIAEP_01282","HCLGMOMD_01258","PNEBEOAF_01029","PILLALAE_01285","ECPKFHDG_01119"
"acpP","","Acyl carrier protein","8","8","1","2","1652","","","","233","233","233","AJPKBNED_01514","JABOOPHC_01478","OAPGLPBN_01450","PLNEIAEP_00840","HCLGMOMD_00821","PNEBEOAF_01462","PILLALAE_00847","ECPKFHDG_01554"
"yetJ","","putative protein YetJ","8","8","1","2","579","","","","659","659","659","AJPKBNED_02065","JABOOPHC_01939","OAPGLPBN_01901","PLNEIAEP_00327","HCLGMOMD_00342","PNEBEOAF_01981","PILLALAE_00314","ECPKFHDG_02004"
"cysK","","Cysteine synthase","8","8","1","2","2028","","","","932","932","932","AJPKBNED_02236","JABOOPHC_02181","OAPGLPBN_02068","PLNEIAEP_00160","HCLGMOMD_00169","PNEBEOAF_02153","PILLALAE_00144","ECPKFHDG_02171"
"group_2189","","hypothetical protein","8","8","1","2","576","","","","617","617","617","AJPKBNED_02068","JABOOPHC_01942","OAPGLPBN_01904","PLNEIAEP_00324","HCLGMOMD_00339","PNEBEOAF_01984","PILLALAE_00311","ECPKFHDG_02007"
"group_2190","","putative metallo-hydrolase","8","8","1","2","1332","","","","623","623","623","AJPKBNED_01210","JABOOPHC_01182","OAPGLPBN_01148","PLNEIAEP_01147","HCLGMOMD_01125","PNEBEOAF_01162","PILLALAE_01151","ECPKFHDG_01252"
"pepF1_2","","Oligoendopeptidase F, plasmid","8","8","1","2","1866","","","","1808","1808","1808","AJPKBNED_01799","JABOOPHC_01690","OAPGLPBN_01660","PLNEIAEP_00573","HCLGMOMD_00611","PNEBEOAF_01672","PILLALAE_00636","ECPKFHDG_01764"
"hslU","","ATP-dependent protease ATPase subunit HslU","8","8","1","2","1631","","","","1403","1403","1403","AJPKBNED_01493","JABOOPHC_01457","OAPGLPBN_01429","PLNEIAEP_00862","HCLGMOMD_00842","PNEBEOAF_01441","PILLALAE_00868","ECPKFHDG_01533"
"acoA","","Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha","8","8","1","2","3208","","","","953","953","953","AJPKBNED_00177","JABOOPHC_00142","OAPGLPBN_00133","PLNEIAEP_02162","HCLGMOMD_02135","PNEBEOAF_00142","PILLALAE_02203","ECPKFHDG_00237"
"group_2194","","hypothetical protein","8","8","1","2","1083","","","","371","371","371","AJPKBNED_00965","JABOOPHC_00936","OAPGLPBN_00901","PLNEIAEP_01392","HCLGMOMD_01372","PNEBEOAF_00917","PILLALAE_01396","ECPKFHDG_01007"
"ythA","","Putative cytochrome bd menaquinol oxidase subunit I","8","8","1","2","1778","","","","1355","1355","1355","AJPKBNED_01638","JABOOPHC_01601","OAPGLPBN_01573","PLNEIAEP_00719","HCLGMOMD_00698","PNEBEOAF_01585","PILLALAE_00724","ECPKFHDG_01677"
"cggR","","Central glycolytic genes regulator","8","8","1","2","701","","","","1013","1013","1013","AJPKBNED_01950","JABOOPHC_01820","OAPGLPBN_01787","PLNEIAEP_00443","HCLGMOMD_00458","PNEBEOAF_01863","PILLALAE_00429","ECPKFHDG_01890"
"group_2197","","hypothetical protein","8","8","1","2","1419","","","","332","332","332","AJPKBNED_01297","JABOOPHC_01268","OAPGLPBN_01234","PLNEIAEP_01062","HCLGMOMD_01039","PNEBEOAF_01248","PILLALAE_01064","ECPKFHDG_01338"
"mnmE","","tRNA modification GTPase MnmE","8","8","1","2","2768","","","","1379","1379","1379","AJPKBNED_02377","JABOOPHC_02341","OAPGLPBN_02208","PLNEIAEP_00003","HCLGMOMD_00004","PNEBEOAF_02294","PILLALAE_00004","ECPKFHDG_02310"
"ynfM","","Inner membrane transport protein YnfM","8","8","1","2","3154","","","","1172","1172","1172","AJPKBNED_00228","JABOOPHC_00190","OAPGLPBN_00180","PLNEIAEP_02110","HCLGMOMD_02086","PNEBEOAF_00190","PILLALAE_02152","ECPKFHDG_00284"
"opuCD_2","","Glycine betaine/carnitine/choline transport system permease protein OpuCD","8","8","1","2","2545","","","","695","695","695","AJPKBNED_00451","JABOOPHC_00422","OAPGLPBN_00393","PLNEIAEP_01901","HCLGMOMD_01879","PNEBEOAF_00402","PILLALAE_01932","ECPKFHDG_00492"
"polC","","DNA polymerase III PolC-type","8","8","1","2","1621","","","","4316","4316","4316","AJPKBNED_01483","JABOOPHC_01447","OAPGLPBN_01419","PLNEIAEP_00872","HCLGMOMD_00852","PNEBEOAF_01431","PILLALAE_00878","ECPKFHDG_01523"
"ptsG","","PTS system glucose-specific EIICBA component","8","8","1","2","2454","","","","2027","2027","2027","AJPKBNED_00370","JABOOPHC_00339","OAPGLPBN_00309","PLNEIAEP_01984","HCLGMOMD_01961","PNEBEOAF_00318","PILLALAE_02013","ECPKFHDG_00409"
"srrA","","Transcriptional regulatory protein SrrA","8","8","1","2","1385","","","","725","725","725","AJPKBNED_01264","JABOOPHC_01235","OAPGLPBN_01201","PLNEIAEP_01095","HCLGMOMD_01072","PNEBEOAF_01215","PILLALAE_01097","ECPKFHDG_01305"
"group_2204","","hypothetical protein","8","8","1","2","1838","","","","806","806","806","AJPKBNED_01772","JABOOPHC_01663","OAPGLPBN_01633","PLNEIAEP_00599","HCLGMOMD_00638","PNEBEOAF_01645","PILLALAE_00663","ECPKFHDG_01737"
"metP_1","","Methionine import system permease protein MetP","8","8","1","2","1953","","","","695","695","695","AJPKBNED_01880","JABOOPHC_01775","OAPGLPBN_01742","PLNEIAEP_00488","HCLGMOMD_00529","PNEBEOAF_01818","PILLALAE_00495","ECPKFHDG_01845"
"tagF","","Teichoic acid poly(glycerol phosphate) polymerase","8","8","1","2","2609","","","","2165","2165","2165","AJPKBNED_00512","JABOOPHC_00483","OAPGLPBN_00454","PLNEIAEP_01841","HCLGMOMD_01816","PNEBEOAF_00463","PILLALAE_01871","ECPKFHDG_00553"
"rplS","","50S ribosomal protein L19","8","8","1","2","1643","","","","350","350","350","AJPKBNED_01505","JABOOPHC_01469","OAPGLPBN_01441","PLNEIAEP_00849","HCLGMOMD_00830","PNEBEOAF_01453","PILLALAE_00856","ECPKFHDG_01545"
"tycC","","Tyrocidine synthase 3","8","8","1","2","3220","","","","7163","7163","7163","AJPKBNED_00166","JABOOPHC_00132","OAPGLPBN_00121","PLNEIAEP_02172","HCLGMOMD_02145","PNEBEOAF_00132","PILLALAE_02213","ECPKFHDG_00227"
"parC","","DNA topoisomerase 4 subunit A","8","8","1","2","1521","","","","2402","2402","2402","AJPKBNED_01391","JABOOPHC_01355","OAPGLPBN_01328","PLNEIAEP_00962","HCLGMOMD_00945","PNEBEOAF_01339","PILLALAE_00969","ECPKFHDG_01432"
"group_2210","","hypothetical protein","8","8","1","2","2084","","","","1328","1328","1328","AJPKBNED_02295","JABOOPHC_02240","OAPGLPBN_02128","PLNEIAEP_00103","HCLGMOMD_00110","PNEBEOAF_02212","PILLALAE_00085","ECPKFHDG_02230"
"dhaK","","PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK","8","8","1","2","3232","","","","962","962","962","AJPKBNED_00159","JABOOPHC_00125","OAPGLPBN_00114","PLNEIAEP_02181","HCLGMOMD_02152","PNEBEOAF_00125","PILLALAE_02220","ECPKFHDG_00220"
"yghA","","putative oxidoreductase YghA","8","8","1","2","2655","","","","881","881","881","AJPKBNED_00550","JABOOPHC_00521","OAPGLPBN_00492","PLNEIAEP_01803","HCLGMOMD_01779","PNEBEOAF_00500","PILLALAE_01833","ECPKFHDG_00591"
"vraR_1","","Response regulator protein VraR","8","8","1","2","1035","","","","629","629","629","AJPKBNED_00888","JABOOPHC_00860","OAPGLPBN_00825","PLNEIAEP_01467","HCLGMOMD_01448","PNEBEOAF_00841","PILLALAE_01473","ECPKFHDG_00931"
"copA","","Copper-exporting P-type ATPase","8","8","1","2","2436","","","","2384","2384","2384","AJPKBNED_00353","JABOOPHC_00322","OAPGLPBN_00292","PLNEIAEP_02001","HCLGMOMD_01978","PNEBEOAF_00301","PILLALAE_02030","ECPKFHDG_00392"
"trmL","","tRNA (cytidine(34)-2'-O)-methyltransferase","8","8","1","2","1066","","","","470","470","470","AJPKBNED_00949","JABOOPHC_00920","OAPGLPBN_00885","PLNEIAEP_01409","HCLGMOMD_01388","PNEBEOAF_00901","PILLALAE_01412","ECPKFHDG_00991"
"scdA","","Iron-sulfur cluster repair protein ScdA","8","8","1","2","584","","","","674","674","674","AJPKBNED_02060","JABOOPHC_01934","OAPGLPBN_01896","PLNEIAEP_00332","HCLGMOMD_00347","PNEBEOAF_01976","PILLALAE_00319","ECPKFHDG_01999"
"secY_1","","Protein translocase subunit SecY","8","8","1","2","3165","","","","1199","1199","1199","AJPKBNED_00218","JABOOPHC_00180","OAPGLPBN_00170","PLNEIAEP_02121","HCLGMOMD_02096","PNEBEOAF_00180","PILLALAE_02162","ECPKFHDG_00274"
"phnE_2","","Phosphate-import permease protein PhnE","8","8","1","2","3169","","","","815","815","815","AJPKBNED_00215","JABOOPHC_00177","OAPGLPBN_00167","PLNEIAEP_02124","HCLGMOMD_02099","PNEBEOAF_00177","PILLALAE_02165","ECPKFHDG_00271"
"cfiB","","2-oxoglutarate carboxylase small subunit","8","8","1","2","1355","","","","1358","1358","1358","AJPKBNED_01233","JABOOPHC_01205","OAPGLPBN_01171","PLNEIAEP_01125","HCLGMOMD_01102","PNEBEOAF_01185","PILLALAE_01128","ECPKFHDG_01275"
"ywtE_2","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YwtE","8","8","1","2","474","","","","878","878","878","AJPKBNED_02167","JABOOPHC_02113","OAPGLPBN_01999","PLNEIAEP_00227","HCLGMOMD_00239","PNEBEOAF_02085","PILLALAE_00212","ECPKFHDG_02102"
"group_2220","","hypothetical protein","8","8","1","2","679","","","","674","674","674","AJPKBNED_01973","JABOOPHC_01843","OAPGLPBN_01810","PLNEIAEP_00420","HCLGMOMD_00435","PNEBEOAF_01888","PILLALAE_00406","ECPKFHDG_01913"
"sle1","","N-acetylmuramoyl-L-alanine amidase sle1","8","8","1","2","2076","","","","974","974","974","AJPKBNED_02288","JABOOPHC_02233","OAPGLPBN_02120","PLNEIAEP_00110","HCLGMOMD_00117","PNEBEOAF_02205","PILLALAE_00092","ECPKFHDG_02223"
"yitJ","","Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase","8","8","1","2","2733","","","","1838","1838","1838","AJPKBNED_02345","JABOOPHC_02306","OAPGLPBN_02173","PLNEIAEP_00036","HCLGMOMD_00039","PNEBEOAF_02259","PILLALAE_00036","ECPKFHDG_02275"
"pyrB","","Aspartate carbamoyltransferase","8","8","1","2","1686","","","","881","881","881","AJPKBNED_01546","JABOOPHC_01509","OAPGLPBN_01481","PLNEIAEP_00809","HCLGMOMD_00790","PNEBEOAF_01493","PILLALAE_00816","ECPKFHDG_01585"
"trxB","","Thioredoxin reductase","8","8","1","2","692","","","","932","932","932","AJPKBNED_01960","JABOOPHC_01830","OAPGLPBN_01797","PLNEIAEP_00433","HCLGMOMD_00448","PNEBEOAF_01875","PILLALAE_00419","ECPKFHDG_01900"
"gatC","","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C","8","8","1","2","1018","","","","302","302","302","AJPKBNED_00871","JABOOPHC_00843","OAPGLPBN_00808","PLNEIAEP_01485","HCLGMOMD_01465","PNEBEOAF_00824","PILLALAE_01490","ECPKFHDG_00914"
"pgi","","Glucose-6-phosphate isomerase","8","8","1","2","1896","","","","1331","1331","1331","AJPKBNED_01827","JABOOPHC_01720","OAPGLPBN_01686","PLNEIAEP_00543","HCLGMOMD_00583","PNEBEOAF_01702","PILLALAE_00609","ECPKFHDG_01790"
"hemL2","","Glutamate-1-semialdehyde 2,1-aminomutase 2","8","8","1","2","1055","","","","1289","1289","1289","AJPKBNED_00908","JABOOPHC_00880","OAPGLPBN_00845","PLNEIAEP_01447","HCLGMOMD_01428","PNEBEOAF_00861","PILLALAE_01453","ECPKFHDG_00951"
"narT","","putative nitrate transporter NarT","8","8","1","2","2590","","","","1163","1163","1163","AJPKBNED_00494","JABOOPHC_00465","OAPGLPBN_00436","PLNEIAEP_01858","HCLGMOMD_01836","PNEBEOAF_00445","PILLALAE_01889","ECPKFHDG_00535"
"group_2229","","Isoleucine 2-epimerase","8","8","1","2","2407","","","","1337","1337","1337","AJPKBNED_00325","JABOOPHC_00294","OAPGLPBN_00265","PLNEIAEP_02029","HCLGMOMD_02006","PNEBEOAF_00274","PILLALAE_02058","ECPKFHDG_00365"
"mccB","","Cystathionine gamma-lyase","8","8","1","2","2081","","","","788","1145","1100","AJPKBNED_02292","JABOOPHC_02237","OAPGLPBN_02125","PLNEIAEP_00106","HCLGMOMD_00113","PNEBEOAF_02209","PILLALAE_00088","ECPKFHDG_02227"
"group_2230","","Antibacterial protein 3","8","8","1","2","1713","","","","134","134","134","AJPKBNED_01572","JABOOPHC_01535","OAPGLPBN_01507","PLNEIAEP_00783","HCLGMOMD_00764","PNEBEOAF_01519","PILLALAE_00790","ECPKFHDG_01611"
"group_2232","","hypothetical protein","8","8","1","2","1254","","","","995","995","995","AJPKBNED_01136","JABOOPHC_01108","OAPGLPBN_01074","PLNEIAEP_01223","HCLGMOMD_01199","PNEBEOAF_01088","PILLALAE_01225","ECPKFHDG_01178"
"murA1","","UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1","8","8","1","2","2142","","","","1265","1265","1265","AJPKBNED_00760","JABOOPHC_00730","OAPGLPBN_00705","PLNEIAEP_01593","HCLGMOMD_01568","PNEBEOAF_00711","PILLALAE_01624","ECPKFHDG_00802"
"nirC","","Nitrite transporter NirC","8","8","1","2","2574","","","","821","821","821","AJPKBNED_00479","JABOOPHC_00450","OAPGLPBN_00421","PLNEIAEP_01874","HCLGMOMD_01851","PNEBEOAF_00430","PILLALAE_01904","ECPKFHDG_00520"
"rnc","","Ribonuclease 3","8","8","1","2","1651","","","","737","737","737","AJPKBNED_01513","JABOOPHC_01477","OAPGLPBN_01449","PLNEIAEP_00841","HCLGMOMD_00822","PNEBEOAF_01461","PILLALAE_00848","ECPKFHDG_01553"
"aroA_1","","Protein AroA(G)","8","8","1","2","1154","","","","1091","1091","1091","AJPKBNED_01037","JABOOPHC_01009","OAPGLPBN_00976","PLNEIAEP_01320","HCLGMOMD_01297","PNEBEOAF_00990","PILLALAE_01324","ECPKFHDG_01080"
"group_2237","","hypothetical protein","8","8","1","2","1016","","","","1208","1208","1208","AJPKBNED_00869","JABOOPHC_00841","OAPGLPBN_00806","PLNEIAEP_01487","HCLGMOMD_01467","PNEBEOAF_00822","PILLALAE_01492","ECPKFHDG_00912"
"gltS","","Sodium/glutamate symporter","8","8","1","2","2634","","","","1208","1208","1208","AJPKBNED_00535","JABOOPHC_00506","OAPGLPBN_00477","PLNEIAEP_01818","HCLGMOMD_01793","PNEBEOAF_00487","PILLALAE_01848","ECPKFHDG_00576"
"rnhC","","Ribonuclease HIII","8","8","1","2","1729","","","","926","926","926","AJPKBNED_01589","JABOOPHC_01552","OAPGLPBN_01524","PLNEIAEP_00767","HCLGMOMD_00747","PNEBEOAF_01536","PILLALAE_00773","ECPKFHDG_01628"
"glyQS","","Glycine--tRNA ligase","8","8","1","2","1311","","","","1391","1391","1391","AJPKBNED_01190","JABOOPHC_01162","OAPGLPBN_01128","PLNEIAEP_01167","HCLGMOMD_01145","PNEBEOAF_01142","PILLALAE_01171","ECPKFHDG_01232"
"clpC","","ATP-dependent Clp protease ATP-binding subunit ClpC","8","8","1","2","432","","","","2453","2453","2453","AJPKBNED_02206","JABOOPHC_02152","OAPGLPBN_02039","PLNEIAEP_00188","HCLGMOMD_00198","PNEBEOAF_02124","PILLALAE_00173","ECPKFHDG_02142"
"nasD","","Nitrite reductase [NAD(P)H]","8","8","1","2","2580","","","","2405","2405","2405","AJPKBNED_00484","JABOOPHC_00455","OAPGLPBN_00426","PLNEIAEP_01868","HCLGMOMD_01846","PNEBEOAF_00435","PILLALAE_01899","ECPKFHDG_00525"
"speG","","Spermidine N(1)-acetyltransferase","8","8","1","2","2061","","","","527","527","527","AJPKBNED_02269","JABOOPHC_02214","OAPGLPBN_02101","PLNEIAEP_00127","HCLGMOMD_00136","PNEBEOAF_02186","PILLALAE_00111","ECPKFHDG_02204"
"mdtH","","Multidrug resistance protein MdtH","8","8","1","2","1131","","","","1214","1214","1214","AJPKBNED_01016","JABOOPHC_00988","OAPGLPBN_00954","PLNEIAEP_01343","HCLGMOMD_01319","PNEBEOAF_00969","PILLALAE_01345","ECPKFHDG_01059"
"czcD_1","","Cadmium, cobalt and zinc/H(+)-K(+) antiporter","8","8","1","2","2190","","","","953","953","953","AJPKBNED_00714","JABOOPHC_00684","OAPGLPBN_00658","PLNEIAEP_01639","HCLGMOMD_01615","PNEBEOAF_00665","PILLALAE_01670","ECPKFHDG_00756"
"group_2246","","putative protein","8","8","1","2","1889","","","","905","905","905","AJPKBNED_01821","JABOOPHC_01714","OAPGLPBN_01680","PLNEIAEP_00549","HCLGMOMD_00589","PNEBEOAF_01696","PILLALAE_00615","ECPKFHDG_01784"
"phoU","","Phosphate-specific transport system accessory protein PhoU","8","8","1","2","1491","","","","647","647","647","AJPKBNED_01364","JABOOPHC_01328","OAPGLPBN_01301","PLNEIAEP_00991","HCLGMOMD_00972","PNEBEOAF_01311","PILLALAE_00996","ECPKFHDG_01405"
"proC","","Pyrroline-5-carboxylate reductase","8","8","1","2","1375","","","","815","821","815","AJPKBNED_01253","JABOOPHC_01225","OAPGLPBN_01191","PLNEIAEP_01105","HCLGMOMD_01082","PNEBEOAF_01205","PILLALAE_01108","ECPKFHDG_01295"
"rplQ","","50S ribosomal protein L17","8","8","1","2","2239","","","","368","368","368","AJPKBNED_00658","JABOOPHC_00627","OAPGLPBN_00601","PLNEIAEP_01696","HCLGMOMD_01671","PNEBEOAF_00608","PILLALAE_01726","ECPKFHDG_00700"
"est_2","","Carboxylesterase","8","8","1","2","2086","","","","650","728","718","AJPKBNED_02297","JABOOPHC_02242","OAPGLPBN_02130","PLNEIAEP_00101","HCLGMOMD_00108","PNEBEOAF_02214","PILLALAE_00083","ECPKFHDG_02232"
"purE","","N5-carboxyaminoimidazole ribonucleotide mutase","8","8","1","2","1800","","","","482","482","482","AJPKBNED_01660","JABOOPHC_01623","OAPGLPBN_01595","PLNEIAEP_00697","HCLGMOMD_00676","PNEBEOAF_01607","PILLALAE_00702","ECPKFHDG_01699"
"potD","","Spermidine/putrescine-binding periplasmic protein","8","8","1","2","1762","","","","1073","1073","1073","AJPKBNED_01622","JABOOPHC_01585","OAPGLPBN_01557","PLNEIAEP_00735","HCLGMOMD_00714","PNEBEOAF_01569","PILLALAE_00740","ECPKFHDG_01661"
"hisA","","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase","8","8","1","2","3187","","","","704","704","704","AJPKBNED_00198","JABOOPHC_00163","OAPGLPBN_00154","PLNEIAEP_02141","HCLGMOMD_02114","PNEBEOAF_00163","PILLALAE_02182","ECPKFHDG_00258"
"group_2253","","hypothetical protein","8","8","1","2","3215","","","","497","497","497","AJPKBNED_00171","JABOOPHC_00137","OAPGLPBN_00127","PLNEIAEP_02167","HCLGMOMD_02140","PNEBEOAF_00137","PILLALAE_02208","ECPKFHDG_00232"
"metG","","Methionine--tRNA ligase","8","8","1","2","2051","","","","1970","1970","1970","AJPKBNED_02259","JABOOPHC_02204","OAPGLPBN_02091","PLNEIAEP_00137","HCLGMOMD_00146","PNEBEOAF_02176","PILLALAE_00121","ECPKFHDG_02194"
"relA","","GTP pyrophosphokinase","8","8","1","2","1245","","","","2189","2189","2189","AJPKBNED_01127","JABOOPHC_01099","OAPGLPBN_01065","PLNEIAEP_01232","HCLGMOMD_01208","PNEBEOAF_01079","PILLALAE_01234","ECPKFHDG_01169"
"group_2256","","hypothetical protein","8","8","1","2","609","","","","617","617","617","AJPKBNED_02035","JABOOPHC_01909","OAPGLPBN_01871","PLNEIAEP_00357","HCLGMOMD_00372","PNEBEOAF_01951","PILLALAE_00345","ECPKFHDG_01974"
"fabF","","3-oxoacyl-[acyl-carrier-protein] synthase 2","8","8","1","2","1878","","","","1244","1244","1244","AJPKBNED_01811","JABOOPHC_01702","OAPGLPBN_01671","PLNEIAEP_00561","HCLGMOMD_00600","PNEBEOAF_01684","PILLALAE_00624","ECPKFHDG_01775"
"group_2258","","hypothetical protein","8","8","1","2","1426","","","","638","638","638","AJPKBNED_01304","JABOOPHC_01275","OAPGLPBN_01241","PLNEIAEP_01055","HCLGMOMD_01032","PNEBEOAF_01255","PILLALAE_01057","ECPKFHDG_01345"
"tmcAL","","tRNA(Met) cytidine acetate ligase","8","8","1","2","1736","","","","1133","1133","1133","AJPKBNED_01596","JABOOPHC_01559","OAPGLPBN_01531","PLNEIAEP_00760","HCLGMOMD_00740","PNEBEOAF_01543","PILLALAE_00766","ECPKFHDG_01635"
"lacB","","Galactose-6-phosphate isomerase subunit LacB","8","8","1","2","2229","","","","515","515","515","AJPKBNED_00668","JABOOPHC_00637","OAPGLPBN_00611","PLNEIAEP_01686","HCLGMOMD_01661","PNEBEOAF_00618","PILLALAE_01716","ECPKFHDG_00710"
"group_2261","","putative membrane protein","8","8","1","2","2493","","","","614","614","614","AJPKBNED_00407","JABOOPHC_00376","OAPGLPBN_00347","PLNEIAEP_01948","HCLGMOMD_01923","PNEBEOAF_00355","PILLALAE_01976","ECPKFHDG_00446"
"der_1","","GTPase Der","8","8","1","2","1396","","","","1310","1310","1310","AJPKBNED_01275","JABOOPHC_01246","OAPGLPBN_01212","PLNEIAEP_01084","HCLGMOMD_01061","PNEBEOAF_01226","PILLALAE_01086","ECPKFHDG_01316"
"purD","","Phosphoribosylamine--glycine ligase","8","8","1","2","1790","","","","1241","1241","1241","AJPKBNED_01650","JABOOPHC_01613","OAPGLPBN_01585","PLNEIAEP_00707","HCLGMOMD_00686","PNEBEOAF_01597","PILLALAE_00712","ECPKFHDG_01689"
"mqo2_2","","putative malate:quinone oxidoreductase 2","8","8","1","2","3197","","","","1496","1496","1496","AJPKBNED_00188","JABOOPHC_00153","OAPGLPBN_00144","PLNEIAEP_02151","HCLGMOMD_02124","PNEBEOAF_00153","PILLALAE_02192","ECPKFHDG_00248"
"potB","","Spermidine/putrescine transport system permease protein PotB","8","8","1","2","1764","","","","803","803","803","AJPKBNED_01624","JABOOPHC_01587","OAPGLPBN_01559","PLNEIAEP_00733","HCLGMOMD_00712","PNEBEOAF_01571","PILLALAE_00738","ECPKFHDG_01663"
"rplY","","50S ribosomal protein L25","8","8","1","2","2040","","","","659","659","659","AJPKBNED_02248","JABOOPHC_02193","OAPGLPBN_02080","PLNEIAEP_00148","HCLGMOMD_00157","PNEBEOAF_02165","PILLALAE_00132","ECPKFHDG_02183"
"tig","","Trigger factor","8","8","1","2","1211","","","","1301","1301","1301","AJPKBNED_01093","JABOOPHC_01066","OAPGLPBN_01032","PLNEIAEP_01265","HCLGMOMD_01241","PNEBEOAF_01046","PILLALAE_01268","ECPKFHDG_01136"
"group_2268","","N-acetylmuramoyl-L-alanine amidase domain-containing protein","8","8","1","2","3147","","","","1967","1967","1967","AJPKBNED_00234","JABOOPHC_00197","OAPGLPBN_00187","PLNEIAEP_02104","HCLGMOMD_02080","PNEBEOAF_00197","PILLALAE_02146","ECPKFHDG_00291"
"argS","","Arginine--tRNA ligase","8","8","1","2","529","","","","1661","1661","1661","AJPKBNED_02115","JABOOPHC_01989","OAPGLPBN_01951","PLNEIAEP_00277","HCLGMOMD_00292","PNEBEOAF_02033","PILLALAE_00264","ECPKFHDG_02054"
"deoD","","Purine nucleoside phosphorylase DeoD-type","8","8","1","2","2182","","","","710","710","710","AJPKBNED_00722","JABOOPHC_00692","OAPGLPBN_00666","PLNEIAEP_01631","HCLGMOMD_01607","PNEBEOAF_00673","PILLALAE_01662","ECPKFHDG_00764"
"gpsB","","Cell cycle protein GpsB","8","8","1","2","1424","","","","338","338","338","AJPKBNED_01302","JABOOPHC_01273","OAPGLPBN_01239","PLNEIAEP_01057","HCLGMOMD_01034","PNEBEOAF_01253","PILLALAE_01059","ECPKFHDG_01343"
"mqo2_3","","putative malate:quinone oxidoreductase 2","8","8","1","2","2397","","","","1499","1499","1499","AJPKBNED_00315","JABOOPHC_00286","OAPGLPBN_00257","PLNEIAEP_02037","HCLGMOMD_02014","PNEBEOAF_00265","PILLALAE_02066","ECPKFHDG_00357"
"npr","","NADH peroxidase","8","8","1","2","2402","","","","1361","1361","1361","AJPKBNED_00318","JABOOPHC_00289","OAPGLPBN_00260","PLNEIAEP_02034","HCLGMOMD_02011","PNEBEOAF_00269","PILLALAE_02063","ECPKFHDG_00360"
"group_2274","","hypothetical protein","8","8","1","2","1113","","","","308","308","308","AJPKBNED_00999","JABOOPHC_00970","OAPGLPBN_00936","PLNEIAEP_01360","HCLGMOMD_01338","PNEBEOAF_00951","PILLALAE_01362","ECPKFHDG_01042"
"group_2275","","hypothetical protein","8","8","1","2","2571","","","","362","362","362","AJPKBNED_00476","JABOOPHC_00447","OAPGLPBN_00418","PLNEIAEP_01877","HCLGMOMD_01854","PNEBEOAF_00427","PILLALAE_01907","ECPKFHDG_00517"
