"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","313","Epi_ref"
"yfiC","","tRNA1(Val) (adenine(37)-N6)-methyltransferase","2","2","1","2","1485","","","","725","725","725","OAPGLPBN_02094","ECPKFHDG_02197"
"group_1522","","hypothetical protein","2","2","1","2","1369","","","","926","926","926","OAPGLPBN_01298","ECPKFHDG_01402"
"gcvT","","Aminomethyltransferase","2","2","1","2","1228","","","","1091","1091","1091","OAPGLPBN_01157","ECPKFHDG_01261"
"group_1524","","hypothetical protein","2","2","1","2","558","","","","377","377","377","OAPGLPBN_00444","ECPKFHDG_00543"
"zupT_2","","Zinc transporter ZupT","2","2","1","2","1719","","","","815","815","815","OAPGLPBN_01844","ECPKFHDG_01947"
"group_1526","","hypothetical protein","2","2","1","2","1798","","","","224","224","224","OAPGLPBN_01763","ECPKFHDG_01866"
"group_1527","","hypothetical protein","2","2","1","2","1938","","","","236","236","236","OAPGLPBN_01621","ECPKFHDG_01725"
"tarJ'","","Ribulose-5-phosphate reductase 2","2","2","1","2","1556","","","","1031","1031","1031","OAPGLPBN_02007","ECPKFHDG_02110"
"capD","","Capsule biosynthesis protein CapD proenzyme","2","2","1","2","435","","","","1604","1604","1604","OAPGLPBN_00321","ECPKFHDG_00421"
"group_1530","","hypothetical protein","2","2","1","2","2084","","","","407","407","407","OAPGLPBN_01474","ECPKFHDG_01578"
"group_1531","","putative oxidoreductase","2","2","1","2","1263","","","","758","758","758","OAPGLPBN_01192","ECPKFHDG_01296"
"gatC","","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C","2","2","1","2","917","","","","302","302","302","OAPGLPBN_00808","ECPKFHDG_00914"
"group_1533","","hypothetical protein","2","2","1","2","1741","","","","527","527","527","OAPGLPBN_01822","ECPKFHDG_01925"
"ytmI","","putative N-acetyltransferase YtmI","2","2","1","2","536","","","","536","536","536","OAPGLPBN_00422","ECPKFHDG_00521"
"group_1535","","hypothetical protein","2","2","1","2","1836","","","","266","266","266","OAPGLPBN_01725","ECPKFHDG_01828"
"ytkD","","Putative 8-oxo-dGTP diphosphatase YtkD","2","2","1","2","997","","","","467","467","467","OAPGLPBN_00926","ECPKFHDG_01032"
"rnj2","","Ribonuclease J 2","2","2","1","2","2150","","","","1706","1706","1706","OAPGLPBN_01408","ECPKFHDG_01512"
"group_1538","","hypothetical protein","2","2","1","2","1348","","","","1889","1889","1889","OAPGLPBN_01277","ECPKFHDG_01381"
"group_1539","","hypothetical protein","2","2","1","2","1579","","","","362","362","362","OAPGLPBN_01984","ECPKFHDG_02087"
"group_1540","","hypothetical protein","2","2","1","2","1007","","","","308","308","308","OAPGLPBN_00936","ECPKFHDG_01042"
"narX","","Nitrate reductase-like protein NarX","2","2","1","2","546","","","","677","677","677","OAPGLPBN_00432","ECPKFHDG_00531"
"nrdI","","Protein NrdI","2","2","1","2","1731","","","","398","398","398","OAPGLPBN_01832","ECPKFHDG_01935"
"group_1543","","hypothetical protein","2","2","1","2","1151","","","","260","260","260","OAPGLPBN_01080","ECPKFHDG_01184"
"mecA","","Adapter protein MecA","2","2","1","2","1899","","","","722","722","722","OAPGLPBN_01662","ECPKFHDG_01766"
"tam","","Trans-aconitate 2-methyltransferase","2","2","1","2","1174","","","","719","719","719","OAPGLPBN_01103","ECPKFHDG_01207"
"gntR","","putative D-xylose utilization operon transcriptional repressor","2","2","1","2","476","","","","680","680","680","OAPGLPBN_00362","ECPKFHDG_00461"
"ydbM","","Putative acyl-CoA dehydrogenase YdbM","2","2","1","2","655","","","","1142","1142","1142","OAPGLPBN_00542","ECPKFHDG_00640"
"ackA","","Acetate kinase","2","2","1","2","1068","","","","1253","1253","1253","OAPGLPBN_00997","ECPKFHDG_01101"
"ndk","","Nucleoside diphosphate kinase","2","2","1","2","1289","","","","449","449","449","OAPGLPBN_01218","ECPKFHDG_01322"
"nucH","","Thermonuclease","2","2","1","2","2199","","","","536","536","536","OAPGLPBN_01359","ECPKFHDG_01463"
"group_1551","","hypothetical protein","2","2","1","2","1393","","","","380","380","380","OAPGLPBN_02191","ECPKFHDG_02293"
"ktrB_1","","Ktr system potassium uptake protein B","2","2","1","2","1930","","","","1358","1358","1358","OAPGLPBN_01631","ECPKFHDG_01735"
"hssR","","Heme response regulator HssR","2","2","1","2","575","","","","674","674","674","OAPGLPBN_00461","ECPKFHDG_00560"
"ktrB_2","","Ktr system potassium uptake protein B","2","2","1","2","1791","","","","1307","1307","1307","OAPGLPBN_01770","ECPKFHDG_01873"
"recR","","Recombination protein RecR","2","2","1","2","1477","","","","596","596","596","OAPGLPBN_02105","ECPKFHDG_02208"
"czrA","","HTH-type transcriptional repressor CzrA","2","2","1","2","763","","","","341","341","341","OAPGLPBN_00659","ECPKFHDG_00757"
"group_1557","","hypothetical protein","2","2","1","2","445","","","","155","155","155","OAPGLPBN_00331","ECPKFHDG_00430"
"group_1558","","hypothetical protein","2","2","1","2","1549","","","","509","509","509","OAPGLPBN_02014","ECPKFHDG_02117"
"btuF","","Vitamin B12-binding protein","2","2","1","2","1615","","","","887","887","887","OAPGLPBN_01948","ECPKFHDG_02051"
"group_1560","","hypothetical protein","2","2","1","2","1707","","","","155","155","155","OAPGLPBN_01856","ECPKFHDG_01959"
"gdnC","","putative guanidinium efflux system subunit GdnC","2","2","1","2","637","","","","326","326","326","OAPGLPBN_00524","ECPKFHDG_00622"
"graS_1","","Sensor histidine kinase GraS","2","2","1","2","337","","","","896","896","896","OAPGLPBN_00223","ECPKFHDG_00323"
"group_1563","","hypothetical protein","2","2","1","2","1023","","","","563","563","563","OAPGLPBN_00952","ECPKFHDG_01057"
"group_1564","","hypothetical protein","2","2","1","2","570","","","","1679","1679","1679","OAPGLPBN_00456","ECPKFHDG_00555"
"obg","","GTPase Obg","2","2","1","2","1126","","","","1292","1292","1292","OAPGLPBN_01055","ECPKFHDG_01159"
"purH","","Bifunctional purine biosynthesis protein PurH","2","2","1","2","1973","","","","1478","1478","1478","OAPGLPBN_01586","ECPKFHDG_01690"
"fhs","","Formate--tetrahydrofolate ligase","2","2","1","2","1049","","","","1667","1667","1667","OAPGLPBN_00978","ECPKFHDG_01082"
"group_1568","","hypothetical protein","2","2","1","2","983","","","","1223","1223","1223","OAPGLPBN_00904","ECPKFHDG_01010"
"ydcV","","Inner membrane ABC transporter permease protein YdcV","2","2","1","2","2001","","","","812","812","812","OAPGLPBN_01558","ECPKFHDG_01662"
"grpE","","Protein GrpE","2","2","1","2","1183","","","","632","632","632","OAPGLPBN_01112","ECPKFHDG_01216"
"ythB","","Putative cytochrome bd menaquinol oxidase subunit II","2","2","1","2","1987","","","","1016","1016","1016","OAPGLPBN_01572","ECPKFHDG_01676"
"group_1572","","hypothetical protein","2","2","1","2","602","","","","179","179","179","OAPGLPBN_00488","ECPKFHDG_00587"
"group_1573","","hypothetical protein","2","2","1","2","1594","","","","980","980","980","OAPGLPBN_01969","ECPKFHDG_02072"
"group_1574","","hypothetical protein","2","2","1","2","1675","","","","422","422","422","OAPGLPBN_01888","ECPKFHDG_01991"
"arlS","","Signal transduction histidine-protein kinase ArlS","2","2","1","2","1341","","","","1370","1370","1370","OAPGLPBN_01270","ECPKFHDG_01374"
"pbuG","","Guanine/hypoxanthine permease PbuG","2","2","1","2","685","","","","1334","1334","1334","OAPGLPBN_00571","ECPKFHDG_00670"
"hel","","Lipoprotein E","2","2","1","2","228","","","","875","875","875","OAPGLPBN_00111","ECPKFHDG_00217"
"yclM","","Aspartokinase 3","2","2","1","2","2202","","","","1376","1376","1376","OAPGLPBN_01356","ECPKFHDG_01460"
"group_1579","","hypothetical protein","2","2","1","2","760","","","","1151","1151","1151","OAPGLPBN_00656","ECPKFHDG_00754"
"dltC","","D-alanyl carrier protein","2","2","1","2","1843","","","","236","236","236","OAPGLPBN_01718","ECPKFHDG_01821"
"pflA","","Pyruvate formate-lyase-activating enzyme","2","2","1","2","211","","","","755","755","755","OAPGLPBN_00094","ECPKFHDG_00200"
"group_1582","","hypothetical protein","2","2","1","2","1010","","","","443","443","443","OAPGLPBN_00939","ECPKFHDG_01045"
"prmC","","Release factor glutamine methyltransferase","2","2","1","2","792","","","","836","836","836","OAPGLPBN_00688","ECPKFHDG_00785"
"tadA_2","","tRNA-specific adenosine deaminase","2","2","1","2","1563","","","","506","506","506","OAPGLPBN_02000","ECPKFHDG_02103"
"argS","","Arginine--tRNA ligase","2","2","1","2","1612","","","","1661","1661","1661","OAPGLPBN_01951","ECPKFHDG_02054"
"group_1586","","hypothetical protein","2","2","1","2","1401","","","","464","464","464","OAPGLPBN_02183","ECPKFHDG_02285"
"group_1587","","hypothetical protein","2","2","1","2","2170","","","","494","494","494","OAPGLPBN_01388","ECPKFHDG_01492"
"group_1588","","1,4-dihydroxy-2-naphthoyl-CoA hydrolase","2","2","1","2","2226","","","","467","467","467","OAPGLPBN_01332","ECPKFHDG_01436"
"group_1589","","hypothetical protein","2","2","1","2","1221","","","","1067","1067","1067","OAPGLPBN_01150","ECPKFHDG_01254"
"scrK","","Fructokinase","2","2","1","2","864","","","","959","959","959","OAPGLPBN_00765","ECPKFHDG_00862"
"rclA","","putative pyridine nucleotide-disulfide oxidoreductase RclA","2","2","1","2","1597","","","","1331","1331","1331","OAPGLPBN_01966","ECPKFHDG_02069"
"prkC","","Serine/threonine-protein kinase PrkC","2","2","1","2","2096","","","","2003","2003","2003","OAPGLPBN_01462","ECPKFHDG_01566"
"group_1593","","hypothetical protein","2","2","1","2","745","","","","1373","1373","1373","OAPGLPBN_00632","ECPKFHDG_00730"
"ctaA","","Heme A synthase","2","2","1","2","2018","","","","923","923","923","OAPGLPBN_01541","ECPKFHDG_01645"
"mqo1","","putative malate:quinone oxidoreductase 1","2","2","1","2","573","","","","1478","1478","1478","OAPGLPBN_00459","ECPKFHDG_00558"
"saeR","","Response regulator SaeR","2","2","1","2","1704","","","","689","689","689","OAPGLPBN_01859","ECPKFHDG_01962"
"desR","","Transcriptional regulatory protein DesR","2","2","1","2","2197","","","","602","602","602","OAPGLPBN_01361","ECPKFHDG_01465"
"group_1598","","hypothetical protein","2","2","1","2","354","","","","899","899","899","OAPGLPBN_00240","ECPKFHDG_00340"
"nnrD","","ADP-dependent (S)-NAD(P)H-hydrate dehydratase","2","2","1","2","91","","","","815","815","815","OAPGLPBN_00007","ECPKFHDG_00007"
"sasG","","Surface protein G","2","2","1","2","179","","","","578","5030","2804","OAPGLPBN_00062","ECPKFHDG_00168"
"group_1600","","hypothetical protein","2","2","1","2","940","","","","530","530","530","OAPGLPBN_00831","ECPKFHDG_00937"
"cshA","","DEAD-box ATP-dependent RNA helicase CshA","2","2","1","2","827","","","","1529","1529","1529","OAPGLPBN_00723","ECPKFHDG_00820"
"ydeN","","Putative hydrolase YdeN","2","2","1","2","989","","","","554","554","554","OAPGLPBN_00910","ECPKFHDG_01016"
"purF","","Amidophosphoribosyltransferase","2","2","1","2","1970","","","","1484","1484","1484","OAPGLPBN_01589","ECPKFHDG_01693"
"xerC_3","","Tyrosine recombinase XerC","2","2","1","2","2127","","","","890","890","890","OAPGLPBN_01431","ECPKFHDG_01535"
"mtaB","","Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB","2","2","1","2","1188","","","","1355","1355","1355","OAPGLPBN_01117","ECPKFHDG_01221"
"group_1606","","hypothetical protein","2","2","1","2","1580","","","","260","260","260","OAPGLPBN_01983","ECPKFHDG_02086"
"cinA","","Putative competence-damage inducible protein","2","2","1","2","2159","","","","1145","1145","1145","OAPGLPBN_01399","ECPKFHDG_01503"
"tcyP","","L-cystine uptake protein TcyP","2","2","1","2","1433","","","","1388","1388","1388","OAPGLPBN_02151","ECPKFHDG_02253"
"atpH","","ATP synthase subunit delta","2","2","1","2","803","","","","539","539","539","OAPGLPBN_00699","ECPKFHDG_00796"
"umuC","","Protein UmuC","2","2","1","2","2238","","","","1262","1262","1262","OAPGLPBN_01320","ECPKFHDG_01424"
"sceD","","putative transglycosylase SceD","2","2","1","2","813","","","","659","659","659","OAPGLPBN_00709","ECPKFHDG_00806"
"cspA_2","","Cold shock protein CspA","2","2","1","2","1797","","","","200","200","200","OAPGLPBN_01764","ECPKFHDG_01867"
"group_1613","","hypothetical protein","2","2","1","2","322","","","","758","758","758","OAPGLPBN_00206","ECPKFHDG_00309"
"yfmJ","","Putative NADP-dependent oxidoreductase YfmJ","2","2","1","2","733","","","","1004","1004","1004","OAPGLPBN_00620","ECPKFHDG_00718"
"ettA","","Energy-dependent translational throttle protein EttA","2","2","1","2","1720","","","","1883","1883","1883","OAPGLPBN_01843","ECPKFHDG_01946"
"group_1616","","hypothetical protein","2","2","1","2","557","","","","2105","2105","2105","OAPGLPBN_00443","ECPKFHDG_00542"
"bsaA_1","","Glutathione peroxidase BsaA","2","2","1","2","348","","","","476","476","476","OAPGLPBN_00234","ECPKFHDG_00334"
"sarR","","HTH-type transcriptional regulator SarR","2","2","1","2","646","","","","344","344","344","OAPGLPBN_00533","ECPKFHDG_00631"
"group_1619","","hypothetical protein","2","2","1","2","1486","","","","248","248","248","OAPGLPBN_02093","ECPKFHDG_02196"
"era","","GTPase Era","2","2","1","2","1197","","","","899","899","899","OAPGLPBN_01126","ECPKFHDG_01230"
"tagE_1","","Poly(glycerol-phosphate) alpha-glucosyltransferase","2","2","1","2","481","","","","1490","1490","1490","OAPGLPBN_00367","ECPKFHDG_00466"
"group_1622","","hypothetical protein","2","2","1","2","1418","","","","191","191","191","OAPGLPBN_02166","ECPKFHDG_02268"
"group_1623","","putative peptidase","2","2","1","2","1072","","","","1055","1055","1055","OAPGLPBN_01001","ECPKFHDG_01105"
"scdA","","Iron-sulfur cluster repair protein ScdA","2","2","1","2","1667","","","","674","674","674","OAPGLPBN_01896","ECPKFHDG_01999"
"group_1625","","hypothetical protein","2","2","1","2","610","","","","512","512","512","OAPGLPBN_00496","ECPKFHDG_00595"
"modA","","Molybdate-binding protein ModA","2","2","1","2","660","","","","785","785","785","OAPGLPBN_00547","ECPKFHDG_00645"
"nifS","","Cysteine desulfurase NifS","2","2","1","2","1063","","","","1139","1139","1139","OAPGLPBN_00992","ECPKFHDG_01096"
"pdxS","","Pyridoxal 5'-phosphate synthase subunit PdxS","2","2","1","2","1517","","","","887","887","887","OAPGLPBN_02046","ECPKFHDG_02149"
"group_1629","","hypothetical protein","2","2","1","2","301","","","","176","176","176","OAPGLPBN_00184","ECPKFHDG_00288"
"mtnN","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","2","2","1","2","1166","","","","686","686","686","OAPGLPBN_01095","ECPKFHDG_01199"
"sarZ","","HTH-type transcriptional regulator SarZ","2","2","1","2","551","","","","446","446","446","OAPGLPBN_00437","ECPKFHDG_00536"
"adhE","","Aldehyde-alcohol dehydrogenase","2","2","1","2","1726","","","","2609","2609","2609","OAPGLPBN_01837","ECPKFHDG_01940"
"oppD","","Oligopeptide transport ATP-binding protein OppD","2","2","1","2","1894","","","","1079","1079","1079","OAPGLPBN_01667","ECPKFHDG_01771"
"pdhD_2","","Dihydrolipoyl dehydrogenase","2","2","1","2","1996","","","","1406","1406","1406","OAPGLPBN_01563","ECPKFHDG_01667"
"group_1635","","hypothetical protein","2","2","1","2","1335","","","","1688","1688","1688","OAPGLPBN_01264","ECPKFHDG_01368"
"bceB_2","","Bacitracin export permease protein BceB","2","2","1","2","1658","","","","1889","1889","1889","OAPGLPBN_01905","ECPKFHDG_02008"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","2","2","1","2","810","","","","437","437","437","OAPGLPBN_00706","ECPKFHDG_00803"
"lexA","","LexA repressor","2","2","1","2","2215","","","","620","620","620","OAPGLPBN_01343","ECPKFHDG_01447"
"group_1639","","hypothetical protein","2","2","1","2","1436","","","","407","407","407","OAPGLPBN_02148","ECPKFHDG_02250"
"yojF","","putative protein YojF","2","2","1","2","1572","","","","362","362","362","OAPGLPBN_01991","ECPKFHDG_02094"
"rpmI","","50S ribosomal protein L35","2","2","1","2","1099","","","","200","200","200","OAPGLPBN_01028","ECPKFHDG_01132"
"group_1642","","hypothetical protein","2","2","1","2","325","","","","446","446","446","OAPGLPBN_00209","ECPKFHDG_00312"
"dnaN","","Beta sliding clamp","2","2","1","2","86","","","","1133","1133","1133","OAPGLPBN_00002","ECPKFHDG_00002"
"cysK","","Cysteine synthase","2","2","1","2","1511","","","","932","932","932","OAPGLPBN_02068","ECPKFHDG_02171"
"pheT","","Phenylalanine--tRNA ligase beta subunit","2","2","1","2","2034","","","","2402","2402","2402","OAPGLPBN_01525","ECPKFHDG_01629"
"group_1646","","hypothetical protein","2","2","1","2","750","","","","683","683","683","OAPGLPBN_00637","ECPKFHDG_00735"
"group_1647","","hypothetical protein","2","2","1","2","2162","","","","215","215","215","OAPGLPBN_01396","ECPKFHDG_01500"
"sbcD","","Nuclease SbcCD subunit D","2","2","1","2","2221","","","","1124","1124","1124","OAPGLPBN_01337","ECPKFHDG_01441"
"group_1649","","hypothetical protein","2","2","1","2","171","","","","494","494","494","OAPGLPBN_00054","ECPKFHDG_00160"
"atpB","","ATP synthase subunit a","2","2","1","2","800","","","","728","728","728","OAPGLPBN_00696","ECPKFHDG_00793"
"prs","","Ribose-phosphate pyrophosphokinase","2","2","1","2","1498","","","","965","965","965","OAPGLPBN_02081","ECPKFHDG_02184"
"ccpN","","Transcriptional repressor CcpN","2","2","1","2","1200","","","","491","491","491","OAPGLPBN_01129","ECPKFHDG_01233"
"mscS_2","","Small-conductance mechanosensitive channel","2","2","1","2","1415","","","","875","875","875","OAPGLPBN_02169","ECPKFHDG_02271"
"sigB","","RNA polymerase sigma-B factor","2","2","1","2","838","","","","770","770","770","OAPGLPBN_00734","ECPKFHDG_00831"
"ylmB","","N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase","2","2","1","2","487","","","","1241","1241","1241","OAPGLPBN_00373","ECPKFHDG_00472"
"group_1656","","hypothetical protein","2","2","1","2","534","","","","470","470","470","OAPGLPBN_00420","ECPKFHDG_00519"
"rnz","","Ribonuclease Z","2","2","1","2","1261","","","","920","920","920","OAPGLPBN_01190","ECPKFHDG_01294"
"group_1658","","hypothetical protein","2","2","1","2","1743","","","","320","320","320","OAPGLPBN_01820","ECPKFHDG_01923"
"group_1659","","hypothetical protein","2","2","1","2","1888","","","","194","194","194","OAPGLPBN_01673","ECPKFHDG_01777"
"group_1660","","hypothetical protein","2","2","1","2","97","","","","926","926","926","OAPGLPBN_00013","ECPKFHDG_00013"
"scmP_3","","N-acetylcysteine deacetylase","2","2","1","2","1360","","","","1151","1151","1151","OAPGLPBN_01289","ECPKFHDG_01393"
"group_1662","","hypothetical protein","2","2","1","2","1153","","","","308","308","308","OAPGLPBN_01082","ECPKFHDG_01186"
"nrdF","","Ribonucleoside-diphosphate reductase subunit beta","2","2","1","2","1733","","","","968","968","968","OAPGLPBN_01830","ECPKFHDG_01933"
"aes","","Acetyl esterase","2","2","1","2","1652","","","","1049","1049","1049","OAPGLPBN_01911","ECPKFHDG_02014"
"group_1665","","hypothetical protein","2","2","1","2","828","","","","479","479","479","OAPGLPBN_00724","ECPKFHDG_00821"
"narH","","Respiratory nitrate reductase 1 beta chain","2","2","1","2","544","","","","1553","1553","1553","OAPGLPBN_00430","ECPKFHDG_00529"
"rsmG","","Ribosomal RNA small subunit methyltransferase G","2","2","1","2","1378","","","","719","719","719","OAPGLPBN_02206","ECPKFHDG_02308"
"ureA","","Urease subunit gamma","2","2","1","2","653","","","","302","302","302","OAPGLPBN_00540","ECPKFHDG_00638"
"serA","","D-3-phosphoglycerate dehydrogenase","2","2","1","2","1056","","","","1595","1595","1595","OAPGLPBN_00985","ECPKFHDG_01089"
"gapA1","","Glyceraldehyde-3-phosphate dehydrogenase 1","2","2","1","2","1776","","","","1010","1010","1010","OAPGLPBN_01786","ECPKFHDG_01889"
"group_1671","","hypothetical protein","2","2","1","2","474","","","","716","716","716","OAPGLPBN_00360","ECPKFHDG_00459"
"mnmA","","tRNA-specific 2-thiouridylase MnmA","2","2","1","2","1147","","","","1118","1118","1118","OAPGLPBN_01076","ECPKFHDG_01180"
"zur","","Zinc-specific metallo-regulatory protein","2","2","1","2","1210","","","","419","419","419","OAPGLPBN_01139","ECPKFHDG_01243"
"group_1674","","hypothetical protein","2","2","1","2","1803","","","","188","188","188","OAPGLPBN_01758","ECPKFHDG_01861"
"mdh","","Malate dehydrogenase","2","2","1","2","1688","","","","941","941","941","OAPGLPBN_01875","ECPKFHDG_01978"
"group_1676","","hypothetical protein","2","2","1","2","1789","","","","170","170","170","OAPGLPBN_01772","ECPKFHDG_01875"
"trpD2","","Anthranilate phosphoribosyltransferase 2","2","2","1","2","2242","","","","995","995","995","OAPGLPBN_01316","ECPKFHDG_01420"
"corA","","Cobalt/magnesium transport protein CorA","2","2","1","2","589","","","","947","947","947","OAPGLPBN_00475","ECPKFHDG_00574"
"hisD","","Histidinol dehydrogenase","2","2","1","2","268","","","","1244","1244","1244","OAPGLPBN_00151","ECPKFHDG_00255"
"ytpA","","Phospholipase YtpA","2","2","1","2","1021","","","","827","827","827","OAPGLPBN_00950","ECPKFHDG_01055"
"group_1681","","hypothetical protein","2","2","1","2","740","","","","1757","1757","1757","OAPGLPBN_00627","ECPKFHDG_00725"
"group_1682","","hypothetical protein","2","2","1","2","2024","","","","251","251","251","OAPGLPBN_01535","ECPKFHDG_01639"
"group_1683","","hypothetical protein","2","2","1","2","163","","","","185","185","185","OAPGLPBN_00046","ECPKFHDG_00152"
"ydaF","","Putative ribosomal N-acetyltransferase YdaF","2","2","1","2","1400","","","","548","548","548","OAPGLPBN_02184","ECPKFHDG_02286"
"group_1685","","hypothetical protein","2","2","1","2","841","","","","89","89","89","OAPGLPBN_00742","ECPKFHDG_00839"
"ffh","","Signal recognition particle protein","2","2","1","2","2113","","","","1367","1367","1367","OAPGLPBN_01445","ECPKFHDG_01549"
"hemL2","","Glutamate-1-semialdehyde 2,1-aminomutase 2","2","2","1","2","954","","","","1289","1289","1289","OAPGLPBN_00845","ECPKFHDG_00951"
"phnE_1","","Phosphate-import permease protein PhnE","2","2","1","2","283","","","","800","800","800","OAPGLPBN_00166","ECPKFHDG_00270"
"garK_2","","Glycerate 2-kinase","2","2","1","2","1744","","","","1130","1130","1130","OAPGLPBN_01819","ECPKFHDG_01922"
"alsT","","Amino-acid carrier protein AlsT","2","2","1","2","2231","","","","1457","1457","1457","OAPGLPBN_01327","ECPKFHDG_01431"
"pflB","","Formate acetyltransferase","2","2","1","2","210","","","","2246","2246","2246","OAPGLPBN_00093","ECPKFHDG_00199"
"group_1692","","2-dehydropantoate 2-reductase","2","2","1","2","385","","","","869","869","869","OAPGLPBN_00271","ECPKFHDG_00371"
"group_1693","","hypothetical protein","2","2","1","2","1109","","","","680","680","680","OAPGLPBN_01038","ECPKFHDG_01142"
"rnj1","","Ribonuclease J 1","2","2","1","2","1989","","","","1682","1682","1682","OAPGLPBN_01570","ECPKFHDG_01674"
"hemW","","Heme chaperone HemW","2","2","1","2","1181","","","","1124","1124","1124","OAPGLPBN_01110","ECPKFHDG_01214"
"zwf_2","","Glucose-6-phosphate 1-dehydrogenase","2","2","1","2","1916","","","","377","377","377","OAPGLPBN_01645","ECPKFHDG_01749"
"odhB","","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex","2","2","1","2","1343","","","","1262","1262","1262","OAPGLPBN_01272","ECPKFHDG_01376"
"group_1698","","hypothetical protein","2","2","1","2","732","","","","1025","1025","1025","OAPGLPBN_00619","ECPKFHDG_00717"
"nfo","","putative endonuclease 4","2","2","1","2","1207","","","","890","890","890","OAPGLPBN_01136","ECPKFHDG_01240"
"group_17","","Putative surface protein","2","2","1","2","180","","","","2066","2894","2480","OAPGLPBN_00063","ECPKFHDG_00169"
"group_1700","","hypothetical protein","2","2","1","2","1268","","","","509","509","509","OAPGLPBN_01197","ECPKFHDG_01301"
"nhaP2","","K(+)/H(+) antiporter NhaP2","2","2","1","2","459","","","","1787","1787","1787","OAPGLPBN_00345","ECPKFHDG_00444"
"group_1702","","hypothetical protein","2","2","1","2","2239","","","","1088","1088","1088","OAPGLPBN_01319","ECPKFHDG_01423"
"group_1703","","putative CtpA-like serine protease","2","2","1","2","1329","","","","1475","1475","1475","OAPGLPBN_01258","ECPKFHDG_01362"
"yclO","","Petrobactin import system permease protein YclO","2","2","1","2","1736","","","","959","959","959","OAPGLPBN_01827","ECPKFHDG_01930"
"nasE","","Assimilatory nitrite reductase [NAD(P)H] small subunit","2","2","1","2","541","","","","314","314","314","OAPGLPBN_00427","ECPKFHDG_00526"
"group_1706","","hypothetical protein","2","2","1","2","679","","","","317","317","317","OAPGLPBN_00565","ECPKFHDG_00664"
"ecsA","","ABC-type transporter ATP-binding protein EcsA","2","2","1","2","982","","","","740","740","740","OAPGLPBN_00903","ECPKFHDG_01009"
"dck","","Deoxyadenosine/deoxycytidine kinase","2","2","1","2","1561","","","","662","662","662","OAPGLPBN_02002","ECPKFHDG_02105"
"rnpA","","Ribonuclease P protein component","2","2","1","2","1375","","","","347","347","347","OAPGLPBN_02209","ECPKFHDG_02311"
"bioW","","6-carboxyhexanoate--CoA ligase","2","2","1","2","185","","","","686","686","686","OAPGLPBN_00068","ECPKFHDG_00174"
"metQ_1","","Methionine-binding lipoprotein MetQ","2","2","1","2","1820","","","","812","812","812","OAPGLPBN_01741","ECPKFHDG_01844"
"group_1712","","hypothetical protein","2","2","1","2","1357","","","","749","749","749","OAPGLPBN_01286","ECPKFHDG_01390"
"group_1713","","hypothetical protein","2","2","1","2","265","","","","416","416","416","OAPGLPBN_00148","ECPKFHDG_00252"
"group_1714","","hypothetical protein","2","2","1","2","1773","","","","620","620","620","OAPGLPBN_01789","ECPKFHDG_01892"
"yxdL","","ABC transporter ATP-binding protein YxdL","2","2","1","2","338","","","","749","749","749","OAPGLPBN_00224","ECPKFHDG_00324"
"gdnD","","putative guanidinium efflux system subunit GdnD","2","2","1","2","636","","","","317","317","317","OAPGLPBN_00523","ECPKFHDG_00621"
"group_1717","","hypothetical protein","2","2","1","2","1223","","","","437","437","437","OAPGLPBN_01152","ECPKFHDG_01256"
"arcB_4","","Delta(1)-pyrroline-2-carboxylate reductase","2","2","1","2","1550","","","","536","536","536","OAPGLPBN_02013","ECPKFHDG_02116"
"plsY","","Glycerol-3-phosphate acyltransferase","2","2","1","2","2228","","","","608","608","608","OAPGLPBN_01330","ECPKFHDG_01434"
"yfiZ","","putative siderophore transport system permease protein YfiZ","2","2","1","2","743","","","","1031","1031","1031","OAPGLPBN_00630","ECPKFHDG_00728"
"uvrC","","UvrABC system protein C","2","2","1","2","2041","","","","1784","1784","1784","OAPGLPBN_01518","ECPKFHDG_01622"
"recN","","DNA repair protein RecN","2","2","1","2","1249","","","","1676","1676","1676","OAPGLPBN_01178","ECPKFHDG_01282"
"rpe","","Ribulose-phosphate 3-epimerase","2","2","1","2","2098","","","","644","644","644","OAPGLPBN_01460","ECPKFHDG_01564"
"cysC","","putative adenylyl-sulfate kinase","2","2","1","2","356","","","","599","599","599","OAPGLPBN_00242","ECPKFHDG_00342"
"phoP","","Alkaline phosphatase synthesis transcriptional regulatory protein PhoP","2","2","1","2","1086","","","","710","710","710","OAPGLPBN_01015","ECPKFHDG_01119"
"group_1726","","hypothetical protein","2","2","1","2","1175","","","","674","674","674","OAPGLPBN_01104","ECPKFHDG_01208"
"group_1727","","hypothetical protein","2","2","1","2","1747","","","","761","761","761","OAPGLPBN_01816","ECPKFHDG_01919"
