"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","200","201","202","317","318","319","322","323","324","327","328","329","332","333","334"
"rplE","","50S ribosomal protein L5","15","15","1","1","381","","","","539","539","539","HCCBNODH_00396","GKHFBONB_00350","HMFBFOGB_01591","OCKNCMEG_00420","OIJDMNBO_02354","PPDKNGKA_02331","EPFCPEFD_01351","BJCJJAEL_01727","NFIBCCNE_02302","POKGPMKP_02153","AMPJGNCI_01607","HAOGAOPA_00906","IMDFGEMN_00325","KHHHHCOB_02481","KMFFNEKJ_00516"
"sufU","","Zinc-dependent sulfurtransferase SufU","15","15","1","1","3439","","","","464","464","464","HCCBNODH_01723","GKHFBONB_01678","HMFBFOGB_00266","OCKNCMEG_01719","OIJDMNBO_00830","PPDKNGKA_00812","EPFCPEFD_02615","BJCJJAEL_00309","NFIBCCNE_00883","POKGPMKP_00765","AMPJGNCI_00344","HAOGAOPA_02326","IMDFGEMN_01662","KHHHHCOB_01142","KMFFNEKJ_01754"
"mnhB1","","Na(+)/H(+) antiporter subunit B1","15","15","1","1","3395","","","","428","428","428","HCCBNODH_01689","GKHFBONB_01644","HMFBFOGB_00300","OCKNCMEG_01753","OIJDMNBO_00864","PPDKNGKA_00846","EPFCPEFD_00066","BJCJJAEL_00404","NFIBCCNE_00978","POKGPMKP_00868","AMPJGNCI_00241","HAOGAOPA_02231","IMDFGEMN_01628","KHHHHCOB_01176","KMFFNEKJ_01788"
"rplT","","50S ribosomal protein L20","15","15","1","1","888","","","","356","356","356","HCCBNODH_00980","GKHFBONB_00934","HMFBFOGB_01007","OCKNCMEG_02560","OIJDMNBO_01673","PPDKNGKA_01654","EPFCPEFD_00789","BJCJJAEL_01109","NFIBCCNE_01683","POKGPMKP_01591","AMPJGNCI_02168","HAOGAOPA_01526","IMDFGEMN_00915","KHHHHCOB_01890","KMFFNEKJ_02502"
"mhqD","","Putative hydrolase MhqD","15","15","1","1","2882","","","","593","593","593","HCCBNODH_00123","GKHFBONB_00077","HMFBFOGB_01864","OCKNCMEG_00697","OIJDMNBO_02631","PPDKNGKA_02608","EPFCPEFD_01614","BJCJJAEL_01996","NFIBCCNE_02571","POKGPMKP_02416","AMPJGNCI_01344","HAOGAOPA_00637","IMDFGEMN_00048","KHHHHCOB_00180","KMFFNEKJ_00792"
"group_3020","","hypothetical protein","15","15","1","1","4219","","","","1007","1007","1007","HCCBNODH_01881","GKHFBONB_01836","HMFBFOGB_00108","OCKNCMEG_01526","OIJDMNBO_00637","PPDKNGKA_00620","EPFCPEFD_02429","BJCJJAEL_00132","NFIBCCNE_00706","POKGPMKP_00579","AMPJGNCI_00530","HAOGAOPA_02523","IMDFGEMN_01819","KHHHHCOB_00985","KMFFNEKJ_01597"
"phnD2","","putative ABC transporter phosphonate/phosphite binding protein PhnD2","15","15","1","1","1696","","","","956","956","956","HCCBNODH_02379","GKHFBONB_02334","HMFBFOGB_02163","OCKNCMEG_01029","OIJDMNBO_00139","PPDKNGKA_00122","EPFCPEFD_01916","BJCJJAEL_02281","NFIBCCNE_00204","POKGPMKP_00066","AMPJGNCI_01044","HAOGAOPA_00353","IMDFGEMN_02338","KHHHHCOB_00466","KMFFNEKJ_01078"
"group_3022","","hypothetical protein","15","15","1","1","1957","","","","263","263","263","HCCBNODH_02160","GKHFBONB_02115","HMFBFOGB_02382","OCKNCMEG_01248","OIJDMNBO_00358","PPDKNGKA_00341","EPFCPEFD_02146","BJCJJAEL_02494","NFIBCCNE_00418","POKGPMKP_00296","AMPJGNCI_00814","HAOGAOPA_00140","IMDFGEMN_02108","KHHHHCOB_00696","KMFFNEKJ_01308"
"trxA","","Thioredoxin","15","15","1","1","3197","","","","314","314","314","HCCBNODH_01497","GKHFBONB_01452","HMFBFOGB_00490","OCKNCMEG_01952","OIJDMNBO_01063","PPDKNGKA_01045","EPFCPEFD_00251","BJCJJAEL_00596","NFIBCCNE_01170","POKGPMKP_01053","AMPJGNCI_00055","HAOGAOPA_02039","IMDFGEMN_01438","KHHHHCOB_01366","KMFFNEKJ_01978"
"group_3024","","hypothetical protein","15","15","1","1","311","","","","233","233","233","HCCBNODH_00329","GKHFBONB_00283","HMFBFOGB_01658","OCKNCMEG_00487","OIJDMNBO_02421","PPDKNGKA_02398","EPFCPEFD_01419","BJCJJAEL_01796","NFIBCCNE_02371","POKGPMKP_02221","AMPJGNCI_01539","HAOGAOPA_00837","IMDFGEMN_00258","KHHHHCOB_02548","KMFFNEKJ_00583"
"rpsK","","30S ribosomal protein S11","15","15","1","1","394","","","","389","389","389","HCCBNODH_00409","GKHFBONB_00363","HMFBFOGB_01578","OCKNCMEG_00407","OIJDMNBO_02341","PPDKNGKA_02318","EPFCPEFD_01338","BJCJJAEL_01714","NFIBCCNE_02289","POKGPMKP_02140","AMPJGNCI_01620","HAOGAOPA_00919","IMDFGEMN_00338","KHHHHCOB_02468","KMFFNEKJ_00503"
"deoD1","","Purine nucleoside phosphorylase DeoD-type 1","15","15","1","1","492","","","","710","710","710","HCCBNODH_00509","GKHFBONB_00463","HMFBFOGB_01478","OCKNCMEG_00319","OIJDMNBO_02252","PPDKNGKA_02230","EPFCPEFD_01250","BJCJJAEL_01629","NFIBCCNE_02204","POKGPMKP_02052","AMPJGNCI_01708","HAOGAOPA_01004","IMDFGEMN_00431","KHHHHCOB_02375","KMFFNEKJ_00410"
"atpE","","ATP synthase subunit c","15","15","1","1","523","","","","212","212","212","HCCBNODH_00539","GKHFBONB_00493","HMFBFOGB_01448","OCKNCMEG_00289","OIJDMNBO_02221","PPDKNGKA_02200","EPFCPEFD_01220","BJCJJAEL_01599","NFIBCCNE_02174","POKGPMKP_02022","AMPJGNCI_01738","HAOGAOPA_01034","IMDFGEMN_00461","KHHHHCOB_02345","KMFFNEKJ_00380"
"mazE","","Antitoxin MazE","15","15","1","1","2437","","","","170","170","170","HCCBNODH_00578","GKHFBONB_00532","HMFBFOGB_01409","OCKNCMEG_00250","OIJDMNBO_02182","PPDKNGKA_02161","EPFCPEFD_01183","BJCJJAEL_01562","NFIBCCNE_02137","POKGPMKP_01985","AMPJGNCI_01775","HAOGAOPA_01071","IMDFGEMN_00498","KHHHHCOB_02308","KMFFNEKJ_00343"
"rpmC","","50S ribosomal protein L29","15","15","1","1","377","","","","209","209","209","HCCBNODH_00392","GKHFBONB_00346","HMFBFOGB_01595","OCKNCMEG_00424","OIJDMNBO_02358","PPDKNGKA_02335","EPFCPEFD_01355","BJCJJAEL_01731","NFIBCCNE_02306","POKGPMKP_02157","AMPJGNCI_01603","HAOGAOPA_00902","IMDFGEMN_00321","KHHHHCOB_02485","KMFFNEKJ_00520"
"group_303","","putative oxidoreductase","15","15","1","1","2843","","","","695","695","695","HCCBNODH_00156","GKHFBONB_00110","HMFBFOGB_01831","OCKNCMEG_00666","OIJDMNBO_02600","PPDKNGKA_02577","EPFCPEFD_01586","BJCJJAEL_01964","NFIBCCNE_02539","POKGPMKP_02388","AMPJGNCI_01372","HAOGAOPA_00669","IMDFGEMN_00088","KHHHHCOB_00139","KMFFNEKJ_00753"
"pth","","Peptidyl-tRNA hydrolase","15","15","1","1","4041","","","","572","572","572","HCCBNODH_02057","GKHFBONB_02012","HMFBFOGB_02485","OCKNCMEG_01350","OIJDMNBO_00460","PPDKNGKA_00443","EPFCPEFD_02254","BJCJJAEL_02607","NFIBCCNE_00531","POKGPMKP_00404","AMPJGNCI_00705","HAOGAOPA_00027","IMDFGEMN_02003","KHHHHCOB_00801","KMFFNEKJ_01413"
"rplP","","50S ribosomal protein L16","15","15","1","1","376","","","","434","434","434","HCCBNODH_00391","GKHFBONB_00345","HMFBFOGB_01596","OCKNCMEG_00425","OIJDMNBO_02359","PPDKNGKA_02336","EPFCPEFD_01356","BJCJJAEL_01732","NFIBCCNE_02307","POKGPMKP_02158","AMPJGNCI_01602","HAOGAOPA_00901","IMDFGEMN_00320","KHHHHCOB_02486","KMFFNEKJ_00521"
"group_3032","","putative protein","15","15","1","1","3103","","","","374","374","374","HCCBNODH_01418","GKHFBONB_01373","HMFBFOGB_00569","OCKNCMEG_02032","OIJDMNBO_01143","PPDKNGKA_01125","EPFCPEFD_00331","BJCJJAEL_00675","NFIBCCNE_01249","POKGPMKP_01133","AMPJGNCI_02628","HAOGAOPA_01960","IMDFGEMN_01359","KHHHHCOB_01446","KMFFNEKJ_02058"
"rpoA","","DNA-directed RNA polymerase subunit alpha","15","15","1","1","395","","","","944","944","944","HCCBNODH_00410","GKHFBONB_00364","HMFBFOGB_01577","OCKNCMEG_00406","OIJDMNBO_02340","PPDKNGKA_02317","EPFCPEFD_01337","BJCJJAEL_01713","NFIBCCNE_02288","POKGPMKP_02139","AMPJGNCI_01621","HAOGAOPA_00920","IMDFGEMN_00339","KHHHHCOB_02467","KMFFNEKJ_00502"
"hup","","DNA-binding protein HU","15","15","1","1","1312","","","","272","272","272","HCCBNODH_01170","GKHFBONB_01125","HMFBFOGB_00817","OCKNCMEG_02305","OIJDMNBO_01418","PPDKNGKA_01399","EPFCPEFD_00599","BJCJJAEL_00920","NFIBCCNE_01494","POKGPMKP_01401","AMPJGNCI_02359","HAOGAOPA_01715","IMDFGEMN_01107","KHHHHCOB_01698","KMFFNEKJ_02310"
"rpsQ","","30S ribosomal protein S17","15","15","1","1","378","","","","263","263","263","HCCBNODH_00393","GKHFBONB_00347","HMFBFOGB_01594","OCKNCMEG_00423","OIJDMNBO_02357","PPDKNGKA_02334","EPFCPEFD_01354","BJCJJAEL_01730","NFIBCCNE_02305","POKGPMKP_02156","AMPJGNCI_01604","HAOGAOPA_00903","IMDFGEMN_00322","KHHHHCOB_02484","KMFFNEKJ_00519"
"era","","GTPase Era","15","15","1","1","989","","","","899","899","899","HCCBNODH_01079","GKHFBONB_01034","HMFBFOGB_00908","OCKNCMEG_02461","OIJDMNBO_01574","PPDKNGKA_01555","EPFCPEFD_00688","BJCJJAEL_01009","NFIBCCNE_01583","POKGPMKP_01490","AMPJGNCI_02270","HAOGAOPA_01626","IMDFGEMN_01015","KHHHHCOB_01790","KMFFNEKJ_02402"
"coaD","","Phosphopantetheine adenylyltransferase","15","15","1","1","3218","","","","482","482","482","HCCBNODH_01518","GKHFBONB_01472","HMFBFOGB_00470","OCKNCMEG_01932","OIJDMNBO_01043","PPDKNGKA_01025","EPFCPEFD_00231","BJCJJAEL_00576","NFIBCCNE_01150","POKGPMKP_01033","AMPJGNCI_00075","HAOGAOPA_02059","IMDFGEMN_01458","KHHHHCOB_01346","KMFFNEKJ_01958"
"group_3038","","hypothetical protein","15","15","1","1","4218","","","","617","617","617","HCCBNODH_01882","GKHFBONB_01837","HMFBFOGB_00107","OCKNCMEG_01525","OIJDMNBO_00636","PPDKNGKA_00619","EPFCPEFD_02428","BJCJJAEL_00131","NFIBCCNE_00705","POKGPMKP_00578","AMPJGNCI_00531","HAOGAOPA_02524","IMDFGEMN_01820","KHHHHCOB_00984","KMFFNEKJ_01596"
"group_3039","","hypothetical protein","15","15","1","1","3061","","","","284","284","284","HCCBNODH_01374","GKHFBONB_01329","HMFBFOGB_00613","OCKNCMEG_02074","OIJDMNBO_01185","PPDKNGKA_01167","EPFCPEFD_00373","BJCJJAEL_00717","NFIBCCNE_01291","POKGPMKP_01175","AMPJGNCI_02585","HAOGAOPA_01918","IMDFGEMN_01317","KHHHHCOB_01488","KMFFNEKJ_02100"
"greA","","Transcription elongation factor GreA","15","15","1","1","947","","","","476","476","476","HCCBNODH_01038","GKHFBONB_00993","HMFBFOGB_00949","OCKNCMEG_02502","OIJDMNBO_01615","PPDKNGKA_01596","EPFCPEFD_00729","BJCJJAEL_01050","NFIBCCNE_01624","POKGPMKP_01531","AMPJGNCI_02228","HAOGAOPA_01585","IMDFGEMN_00973","KHHHHCOB_01832","KMFFNEKJ_02444"
"bioD","","ATP-dependent dethiobiotin synthetase BioD","15","15","1","1","2780","","","","686","686","686","HCCBNODH_00210","GKHFBONB_00164","HMFBFOGB_01777","OCKNCMEG_00614","OIJDMNBO_02548","PPDKNGKA_02525","EPFCPEFD_01538","BJCJJAEL_01915","NFIBCCNE_02490","POKGPMKP_02340","AMPJGNCI_01420","HAOGAOPA_00718","IMDFGEMN_00137","KHHHHCOB_00090","KMFFNEKJ_00704"
"rplX","","50S ribosomal protein L24","15","15","1","1","380","","","","317","317","317","HCCBNODH_00395","GKHFBONB_00349","HMFBFOGB_01592","OCKNCMEG_00421","OIJDMNBO_02355","PPDKNGKA_02332","EPFCPEFD_01352","BJCJJAEL_01728","NFIBCCNE_02303","POKGPMKP_02154","AMPJGNCI_01606","HAOGAOPA_00905","IMDFGEMN_00324","KHHHHCOB_02482","KMFFNEKJ_00517"
"group_3051","","hypothetical protein","15","15","1","1","1009","","","","329","329","329","HCCBNODH_01099","GKHFBONB_01054","HMFBFOGB_00888","OCKNCMEG_02441","OIJDMNBO_01554","PPDKNGKA_01535","EPFCPEFD_00668","BJCJJAEL_00989","NFIBCCNE_01563","POKGPMKP_01470","AMPJGNCI_02290","HAOGAOPA_01646","IMDFGEMN_01035","KHHHHCOB_01770","KMFFNEKJ_02382"
"cysE","","Serine acetyltransferase","15","15","1","1","4069","","","","680","680","680","HCCBNODH_02013","GKHFBONB_01968","HMFBFOGB_02529","OCKNCMEG_01390","OIJDMNBO_00501","PPDKNGKA_00484","EPFCPEFD_02297","BJCJJAEL_02650","NFIBCCNE_00574","POKGPMKP_00447","AMPJGNCI_00662","HAOGAOPA_02656","IMDFGEMN_01960","KHHHHCOB_00844","KMFFNEKJ_01456"
"rpsI","","30S ribosomal protein S9","15","15","1","1","405","","","","398","398","398","HCCBNODH_00417","GKHFBONB_00371","HMFBFOGB_01570","OCKNCMEG_00397","OIJDMNBO_02331","PPDKNGKA_02308","EPFCPEFD_01330","BJCJJAEL_01706","NFIBCCNE_02281","POKGPMKP_02132","AMPJGNCI_01628","HAOGAOPA_00927","IMDFGEMN_00346","KHHHHCOB_02460","KMFFNEKJ_00495"
"rplI","","50S ribosomal protein L9","15","15","1","1","2521","","","","446","446","446","HCCBNODH_02459","GKHFBONB_02414","HMFBFOGB_02083","OCKNCMEG_00905","OIJDMNBO_00015","PPDKNGKA_00018","EPFCPEFD_01820","BJCJJAEL_02204","NFIBCCNE_00127","POKGPMKP_02620","AMPJGNCI_01140","HAOGAOPA_00430","IMDFGEMN_02413","KHHHHCOB_00391","KMFFNEKJ_01003"
"cymR","","HTH-type transcriptional regulator CymR","15","15","1","1","931","","","","422","422","422","HCCBNODH_01022","GKHFBONB_00977","HMFBFOGB_00965","OCKNCMEG_02518","OIJDMNBO_01631","PPDKNGKA_01612","EPFCPEFD_00746","BJCJJAEL_01066","NFIBCCNE_01640","POKGPMKP_01548","AMPJGNCI_02211","HAOGAOPA_01569","IMDFGEMN_00957","KHHHHCOB_01848","KMFFNEKJ_02460"
"cspLA","","Cold shock-like protein CspLA","15","15","1","1","2548","","","","200","200","200","HCCBNODH_02484","GKHFBONB_02439","HMFBFOGB_02058","OCKNCMEG_00881","OIJDMNBO_02815","PPDKNGKA_02792","EPFCPEFD_01796","BJCJJAEL_02178","NFIBCCNE_00101","POKGPMKP_02596","AMPJGNCI_01164","HAOGAOPA_00456","IMDFGEMN_02437","KHHHHCOB_00367","KMFFNEKJ_00979"
"group_3057","","hypothetical protein","15","15","1","1","3461","","","","236","236","236","HCCBNODH_01744","GKHFBONB_01699","HMFBFOGB_00245","OCKNCMEG_01698","OIJDMNBO_00809","PPDKNGKA_00791","EPFCPEFD_02594","BJCJJAEL_00288","NFIBCCNE_00862","POKGPMKP_00744","AMPJGNCI_00365","HAOGAOPA_02347","IMDFGEMN_01684","KHHHHCOB_01120","KMFFNEKJ_01732"
"vraS","","Sensor protein VraS","15","15","1","1","2331","","","","1043","1043","1043","HCCBNODH_00745","GKHFBONB_00699","HMFBFOGB_01242","OCKNCMEG_00059","OIJDMNBO_01991","PPDKNGKA_01970","EPFCPEFD_01016","BJCJJAEL_01351","NFIBCCNE_01926","POKGPMKP_01818","AMPJGNCI_01941","HAOGAOPA_01282","IMDFGEMN_00670","KHHHHCOB_02136","KMFFNEKJ_00171"
"group_3059","","hypothetical protein","15","15","1","1","3438","","","","1397","1397","1397","HCCBNODH_01722","GKHFBONB_01677","HMFBFOGB_00267","OCKNCMEG_01720","OIJDMNBO_00831","PPDKNGKA_00813","EPFCPEFD_02616","BJCJJAEL_00310","NFIBCCNE_00884","POKGPMKP_00766","AMPJGNCI_00343","HAOGAOPA_02325","IMDFGEMN_01661","KHHHHCOB_01143","KMFFNEKJ_01755"
"ytmI","","putative N-acetyltransferase YtmI","15","15","1","1","206","","","","536","536","536","HCCBNODH_00235","GKHFBONB_00189","HMFBFOGB_01752","OCKNCMEG_00588","OIJDMNBO_02522","PPDKNGKA_02499","EPFCPEFD_01514","BJCJJAEL_01889","NFIBCCNE_02464","POKGPMKP_02316","AMPJGNCI_01444","HAOGAOPA_00744","IMDFGEMN_00163","KHHHHCOB_00064","KMFFNEKJ_00678"
"atpB","","ATP synthase subunit a","15","15","1","1","522","","","","728","728","728","HCCBNODH_00538","GKHFBONB_00492","HMFBFOGB_01449","OCKNCMEG_00290","OIJDMNBO_02222","PPDKNGKA_02201","EPFCPEFD_01221","BJCJJAEL_01600","NFIBCCNE_02175","POKGPMKP_02023","AMPJGNCI_01737","HAOGAOPA_01033","IMDFGEMN_00460","KHHHHCOB_02346","KMFFNEKJ_00381"
"group_3061","","Nucleoid-associated protein","15","15","1","1","4018","","","","317","317","317","HCCBNODH_02083","GKHFBONB_02038","HMFBFOGB_02459","OCKNCMEG_01324","OIJDMNBO_00434","PPDKNGKA_00417","EPFCPEFD_02228","BJCJJAEL_02581","NFIBCCNE_00505","POKGPMKP_00378","AMPJGNCI_00731","HAOGAOPA_00053","IMDFGEMN_02029","KHHHHCOB_00775","KMFFNEKJ_01387"
"nrdI","","Protein NrdI","15","15","1","1","4289","","","","398","398","398","HCCBNODH_01816","GKHFBONB_01771","HMFBFOGB_00173","OCKNCMEG_01626","OIJDMNBO_00737","PPDKNGKA_00719","EPFCPEFD_02497","BJCJJAEL_00197","NFIBCCNE_00771","POKGPMKP_00647","AMPJGNCI_00462","HAOGAOPA_02458","IMDFGEMN_01754","KHHHHCOB_01050","KMFFNEKJ_01662"
"argR_1","","Arginine repressor","15","15","1","1","1034","","","","452","452","452","HCCBNODH_01124","GKHFBONB_01079","HMFBFOGB_00863","OCKNCMEG_02416","OIJDMNBO_01529","PPDKNGKA_01510","EPFCPEFD_00643","BJCJJAEL_00964","NFIBCCNE_01538","POKGPMKP_01445","AMPJGNCI_02315","HAOGAOPA_01671","IMDFGEMN_01060","KHHHHCOB_01745","KMFFNEKJ_02357"
"tgt","","Queuine tRNA-ribosyltransferase","15","15","1","1","919","","","","1139","1139","1139","HCCBNODH_01010","GKHFBONB_00965","HMFBFOGB_00977","OCKNCMEG_02530","OIJDMNBO_01643","PPDKNGKA_01624","EPFCPEFD_00758","BJCJJAEL_01078","NFIBCCNE_01652","POKGPMKP_01560","AMPJGNCI_02199","HAOGAOPA_01557","IMDFGEMN_00945","KHHHHCOB_01860","KMFFNEKJ_02472"
"rnpA","","Ribonuclease P protein component","15","15","1","1","2540","","","","347","347","347","HCCBNODH_02476","GKHFBONB_02431","HMFBFOGB_02066","OCKNCMEG_00889","OIJDMNBO_02823","PPDKNGKA_02800","EPFCPEFD_01804","BJCJJAEL_02186","NFIBCCNE_00109","POKGPMKP_02604","AMPJGNCI_01156","HAOGAOPA_00448","IMDFGEMN_02429","KHHHHCOB_00375","KMFFNEKJ_00987"
"rpsM","","30S ribosomal protein S13","15","15","1","1","393","","","","365","365","365","HCCBNODH_00408","GKHFBONB_00362","HMFBFOGB_01579","OCKNCMEG_00408","OIJDMNBO_02342","PPDKNGKA_02319","EPFCPEFD_01339","BJCJJAEL_01715","NFIBCCNE_02290","POKGPMKP_02141","AMPJGNCI_01619","HAOGAOPA_00918","IMDFGEMN_00337","KHHHHCOB_02469","KMFFNEKJ_00504"
"group_3067","","putative tautomerase","15","15","1","1","1190","","","","188","188","188","HCCBNODH_01280","GKHFBONB_01235","HMFBFOGB_00707","OCKNCMEG_02197","OIJDMNBO_01310","PPDKNGKA_01292","EPFCPEFD_00489","BJCJJAEL_00813","NFIBCCNE_01387","POKGPMKP_01291","AMPJGNCI_02469","HAOGAOPA_01822","IMDFGEMN_01215","KHHHHCOB_01590","KMFFNEKJ_02202"
"group_3068","","putative protein","15","15","1","1","1029","","","","362","362","362","HCCBNODH_01119","GKHFBONB_01074","HMFBFOGB_00868","OCKNCMEG_02421","OIJDMNBO_01534","PPDKNGKA_01515","EPFCPEFD_00648","BJCJJAEL_00969","NFIBCCNE_01543","POKGPMKP_01450","AMPJGNCI_02310","HAOGAOPA_01666","IMDFGEMN_01055","KHHHHCOB_01750","KMFFNEKJ_02362"
"fur","","Ferric uptake regulation protein","15","15","1","1","1057","","","","449","449","449","HCCBNODH_01146","GKHFBONB_01101","HMFBFOGB_00841","OCKNCMEG_02391","OIJDMNBO_01504","PPDKNGKA_01485","EPFCPEFD_00621","BJCJJAEL_00942","NFIBCCNE_01516","POKGPMKP_01423","AMPJGNCI_02337","HAOGAOPA_01693","IMDFGEMN_01082","KHHHHCOB_01723","KMFFNEKJ_02335"
"group_307","","hypothetical protein","15","15","1","1","232","","","","383","383","383","HCCBNODH_00257","GKHFBONB_00211","HMFBFOGB_01730","OCKNCMEG_00564","OIJDMNBO_02498","PPDKNGKA_02475","EPFCPEFD_01492","BJCJJAEL_01869","NFIBCCNE_02444","POKGPMKP_02294","AMPJGNCI_01466","HAOGAOPA_00764","IMDFGEMN_00187","KHHHHCOB_00040","KMFFNEKJ_00654"
"sbnI","","L-serine kinase SbnI","15","15","1","1","1677","","","","764","764","764","HCCBNODH_02398","GKHFBONB_02353","HMFBFOGB_02144","OCKNCMEG_01011","OIJDMNBO_00121","PPDKNGKA_00104","EPFCPEFD_01896","BJCJJAEL_02262","NFIBCCNE_00185","POKGPMKP_00046","AMPJGNCI_01064","HAOGAOPA_00372","IMDFGEMN_02357","KHHHHCOB_00447","KMFFNEKJ_01059"
"fba","","Fructose-bisphosphate aldolase","15","15","1","1","505","","","","860","860","860","HCCBNODH_00522","GKHFBONB_00476","HMFBFOGB_01465","OCKNCMEG_00306","OIJDMNBO_02239","PPDKNGKA_02217","EPFCPEFD_01237","BJCJJAEL_01616","NFIBCCNE_02191","POKGPMKP_02039","AMPJGNCI_01721","HAOGAOPA_01017","IMDFGEMN_00444","KHHHHCOB_02362","KMFFNEKJ_00397"
"pdhD","","Dihydrolipoyl dehydrogenase","15","15","1","1","3245","","","","1406","1406","1406","HCCBNODH_01545","GKHFBONB_01499","HMFBFOGB_00443","OCKNCMEG_01905","OIJDMNBO_01016","PPDKNGKA_00998","EPFCPEFD_00204","BJCJJAEL_00549","NFIBCCNE_01123","POKGPMKP_01006","AMPJGNCI_00102","HAOGAOPA_02086","IMDFGEMN_01485","KHHHHCOB_01319","KMFFNEKJ_01931"
"rpsL","","30S ribosomal protein S12","15","15","1","1","4085","","","","413","413","413","HCCBNODH_01997","GKHFBONB_01952","HMFBFOGB_02545","OCKNCMEG_01406","OIJDMNBO_00517","PPDKNGKA_00500","EPFCPEFD_02313","BJCJJAEL_02666","NFIBCCNE_00590","POKGPMKP_00463","AMPJGNCI_00646","HAOGAOPA_02640","IMDFGEMN_01944","KHHHHCOB_00860","KMFFNEKJ_01472"
"pyrR","","Bifunctional protein PyrR","15","15","1","1","3131","","","","527","527","527","HCCBNODH_01445","GKHFBONB_01400","HMFBFOGB_00542","OCKNCMEG_02005","OIJDMNBO_01116","PPDKNGKA_01098","EPFCPEFD_00304","BJCJJAEL_00648","NFIBCCNE_01222","POKGPMKP_01106","AMPJGNCI_00002","HAOGAOPA_01987","IMDFGEMN_01386","KHHHHCOB_01419","KMFFNEKJ_02031"
"group_3075","","hypothetical protein","15","15","1","1","2536","","","","236","236","236","HCCBNODH_02472","GKHFBONB_02427","HMFBFOGB_02070","OCKNCMEG_00893","OIJDMNBO_00003","PPDKNGKA_00003","EPFCPEFD_01808","BJCJJAEL_02191","NFIBCCNE_00114","POKGPMKP_02608","AMPJGNCI_01152","HAOGAOPA_00443","IMDFGEMN_02425","KHHHHCOB_00379","KMFFNEKJ_00991"
"bcrA_1","","Bacitracin transport ATP-binding protein BcrA","15","15","1","1","2283","","","","872","872","872","HCCBNODH_00699","GKHFBONB_00653","HMFBFOGB_01288","OCKNCMEG_00105","OIJDMNBO_02037","PPDKNGKA_02016","EPFCPEFD_01062","BJCJJAEL_01397","NFIBCCNE_01972","POKGPMKP_01865","AMPJGNCI_01895","HAOGAOPA_01236","IMDFGEMN_00622","KHHHHCOB_02184","KMFFNEKJ_00219"
"pnp_1","","Polyribonucleotide nucleotidyltransferase","15","15","1","1","4047","","","","401","401","401","HCCBNODH_02051","GKHFBONB_02006","HMFBFOGB_02491","OCKNCMEG_01356","OIJDMNBO_00466","PPDKNGKA_00449","EPFCPEFD_02260","BJCJJAEL_02613","NFIBCCNE_00537","POKGPMKP_00410","AMPJGNCI_00699","HAOGAOPA_00021","IMDFGEMN_01997","KHHHHCOB_00807","KMFFNEKJ_01419"
"group_3078","","hypothetical protein","15","15","1","1","499","","","","671","671","671","HCCBNODH_00516","GKHFBONB_00470","HMFBFOGB_01471","OCKNCMEG_00312","OIJDMNBO_02245","PPDKNGKA_02223","EPFCPEFD_01243","BJCJJAEL_01622","NFIBCCNE_02197","POKGPMKP_02045","AMPJGNCI_01715","HAOGAOPA_01011","IMDFGEMN_00438","KHHHHCOB_02368","KMFFNEKJ_00403"
"group_3079","","hypothetical protein","15","15","1","1","2290","","","","173","173","173","HCCBNODH_00706","GKHFBONB_00660","HMFBFOGB_01281","OCKNCMEG_00098","OIJDMNBO_02030","PPDKNGKA_02009","EPFCPEFD_01055","BJCJJAEL_01390","NFIBCCNE_01965","POKGPMKP_01858","AMPJGNCI_01902","HAOGAOPA_01243","IMDFGEMN_00629","KHHHHCOB_02177","KMFFNEKJ_00212"
"group_308","","hypothetical protein","15","15","1","1","239","","","","335","401","387","HCCBNODH_00264","GKHFBONB_00218","HMFBFOGB_01723","OCKNCMEG_00557","OIJDMNBO_02491","PPDKNGKA_02468","EPFCPEFD_01485","BJCJJAEL_01862","NFIBCCNE_02437","POKGPMKP_02287","AMPJGNCI_01473","HAOGAOPA_00771","IMDFGEMN_00194","KHHHHCOB_00033","KMFFNEKJ_00647"
"map_4","","Protein map","15","15","1","1","415","","","","305","425","401","HCCBNODH_00421","GKHFBONB_00375","HMFBFOGB_01566","OCKNCMEG_00393","OIJDMNBO_02327","PPDKNGKA_02304","EPFCPEFD_01325","BJCJJAEL_01701","NFIBCCNE_02276","POKGPMKP_02127","AMPJGNCI_01633","HAOGAOPA_00932","IMDFGEMN_00354","KHHHHCOB_02452","KMFFNEKJ_00487"
"group_3090","","hypothetical protein","15","15","1","1","656","","","","344","344","344","HCCBNODH_00669","GKHFBONB_00623","HMFBFOGB_01318","OCKNCMEG_00138","OIJDMNBO_02070","PPDKNGKA_02049","EPFCPEFD_01095","BJCJJAEL_01429","NFIBCCNE_02004","POKGPMKP_01897","AMPJGNCI_01863","HAOGAOPA_01204","IMDFGEMN_00589","KHHHHCOB_02217","KMFFNEKJ_00252"
